episode_reward,nb_episode_steps,nb_steps
-147.0,148,73891
-94.0,95,73986
-97.0,98,74084
-102.0,103,74187
-93.0,94,74281
-128.0,129,74410
-118.0,119,74529
-129.0,130,74659
-123.0,124,74783
-139.0,140,74923
-124.0,125,75048
-82.0,83,75131
-112.0,113,75244
-122.0,123,75367
-91.0,92,75459
-109.0,110,75569
-101.0,102,75671
-116.0,117,75788
-93.0,94,75882
-98.0,99,75981
-106.0,107,76088
-148.0,149,76237
-118.0,119,76356
-116.0,117,76473
-287.0,288,76761
-94.0,95,76856
-111.0,112,76968
-158.0,159,77127
-104.0,105,77232
-97.0,98,77330
-101.0,102,77432
-126.0,127,77559
-85.0,86,77645
-155.0,156,77801
-100.0,101,77902
-104.0,105,78007
-85.0,86,78093
-116.0,117,78210
-133.0,134,78344
-82.0,83,78427
-109.0,110,78537
-105.0,106,78643
-114.0,115,78758
-107.0,108,78866
-109.0,110,78976
-101.0,102,79078
-88.0,89,79167
-124.0,125,79292
-98.0,99,79391
-90.0,91,79482
-114.0,115,79597
-92.0,93,79690
-88.0,89,79779
-112.0,113,79892
-108.0,109,80001
-125.0,126,80127
-75.0,76,80203
-91.0,92,80295
-83.0,84,80379
-88.0,89,80468
-100.0,101,80569
-120.0,121,80690
-82.0,83,80773
-80.0,81,80854
-95.0,96,80950
-91.0,92,81042
-84.0,85,81127
-118.0,119,81246
-137.0,138,81384
-104.0,105,81489
-109.0,110,81599
-87.0,88,81687
-111.0,112,81799
-119.0,120,81919
-97.0,98,82017
-115.0,116,82133
-87.0,88,82221
-113.0,114,82335
-98.0,99,82434
-97.0,98,82532
-128.0,129,82661
-100.0,101,82762
-92.0,93,82855
-91.0,92,82947
-98.0,99,83046
-129.0,130,83176
-138.0,139,83315
-120.0,121,83436
-133.0,134,83570
-91.0,92,83662
-140.0,141,83803
-97.0,98,83901
-125.0,126,84027
-97.0,98,84125
-113.0,114,84239
-83.0,84,84323
-99.0,100,84423
-99.0,100,84523
-124.0,125,84648
-93.0,94,84742
-117.0,118,84860
-106.0,107,84967
-122.0,123,85090
-113.0,114,85204
-90.0,91,85295
-79.0,80,85375
-84.0,85,85460
-95.0,96,85556
-100.0,101,85657
-80.0,81,85738
-87.0,88,85826
-87.0,88,85914
-83.0,84,85998
-102.0,103,86101
-124.0,125,86226
-81.0,82,86308
-101.0,102,86410
-105.0,106,86516
-117.0,118,86634
-96.0,97,86731
-76.0,77,86808
-78.0,79,86887
-82.0,83,86970
-104.0,105,87075
-96.0,97,87172
-104.0,105,87277
-100.0,101,87378
-85.0,86,87464
-81.0,82,87546
-136.0,137,87683
-100.0,101,87784
-86.0,87,87871
-82.0,83,87954
-87.0,88,88042
-80.0,81,88123
-94.0,95,88218
-85.0,86,88304
-103.0,104,88408
-79.0,80,88488
-92.0,93,88581
-79.0,80,88661
-76.0,77,88738
-126.0,127,88865
-82.0,83,88948
-83.0,84,89032
-80.0,81,89113
-106.0,107,89220
-100.0,101,89321
-148.0,149,89470
-91.0,92,89562
-119.0,120,89682
-140.0,141,89823
-90.0,91,89914
-117.0,118,90032
-102.0,103,90135
-100.0,101,90236
-79.0,80,90316
-87.0,88,90404
-97.0,98,90502
-86.0,87,90589
-99.0,100,90689
-97.0,98,90787
-111.0,112,90899
-83.0,84,90983
-86.0,87,91070
-82.0,83,91153
-98.0,99,91252
-85.0,86,91338
-93.0,94,91432
-93.0,94,91526
-83.0,84,91610
-84.0,85,91695
-83.0,84,91779
-70.0,71,91850
-80.0,81,91931
-107.0,108,92039
-88.0,89,92128
-75.0,76,92204
-103.0,104,92308
-85.0,86,92394
-112.0,113,92507
-89.0,90,92597
-119.0,120,92717
-93.0,94,92811
-109.0,110,92921
-166.0,167,93088
-73.0,74,93162
-110.0,111,93273
-76.0,77,93350
-97.0,98,93448
-86.0,87,93535
-114.0,115,93650
-92.0,93,93743
-118.0,119,93862
-94.0,95,93957
-116.0,117,94074
-79.0,80,94154
-70.0,71,94225
-90.0,91,94316
-76.0,77,94393
-91.0,92,94485
-72.0,73,94558
-75.0,76,94634
-106.0,107,94741
-83.0,84,94825
-94.0,95,94920
-101.0,102,95022
-115.0,116,95138
-100.0,101,95239
-84.0,85,95324
-211.0,212,95536
-80.0,81,95617
-78.0,79,95696
-80.0,81,95777
-91.0,92,95869
-95.0,96,95965
-81.0,82,96047
-97.0,98,96145
-75.0,76,96221
-238.0,239,96460
-130.0,131,96591
-70.0,71,96662
-93.0,94,96756
-85.0,86,96842
-104.0,105,96947
-85.0,86,97033
-94.0,95,97128
-94.0,95,97223
-61.0,62,97285
-77.0,78,97363
-78.0,79,97442
-75.0,76,97518
-79.0,80,97598
-78.0,79,97677
-102.0,103,97780
-95.0,96,97876
-71.0,72,97948
-123.0,124,98072
-95.0,96,98168
-76.0,77,98245
-85.0,86,98331
-89.0,90,98421
-86.0,87,98508
-76.0,77,98585
-96.0,97,98682
-104.0,105,98787
-69.0,70,98857
-96.0,97,98954
-79.0,80,99034
-88.0,89,99123
-79.0,80,99203
-93.0,94,99297
-94.0,95,99392
-94.0,95,99487
-76.0,77,99564
-78.0,79,99643
-74.0,75,99718
-76.0,77,99795
-79.0,80,99875
-83.0,84,99959
-76.0,77,100036
-101.0,102,100138
-83.0,84,100222
-71.0,72,100294
-75.0,76,100370
-85.0,86,100456
-98.0,99,100555
-92.0,93,100648
-76.0,77,100725
-89.0,90,100815
-89.0,90,100905
-93.0,94,100999
-77.0,78,101077
-78.0,79,101156
-86.0,87,101243
-77.0,78,101321
-82.0,83,101404
-70.0,71,101475
-70.0,71,101546
-92.0,93,101639
-83.0,84,101723
-88.0,89,101812
-94.0,95,101907
-77.0,78,101985
-88.0,89,102074
-69.0,70,102144
-121.0,122,102266
-78.0,79,102345
-80.0,81,102426
-90.0,91,102517
-87.0,88,102605
-100.0,101,102706
-92.0,93,102799
-80.0,81,102880
-75.0,76,102956
-108.0,109,103065
-97.0,98,103163
-93.0,94,103257
-88.0,89,103346
-74.0,75,103421
-102.0,103,103524
-87.0,88,103612
-107.0,108,103720
-83.0,84,103804
-125.0,126,103930
-104.0,105,104035
-84.0,85,104120
-78.0,79,104199
-85.0,86,104285
-419.0,420,104705
-80.0,81,104786
-70.0,71,104857
-73.0,74,104931
-97.0,98,105029
-88.0,89,105118
-85.0,86,105204
-73.0,74,105278
-76.0,77,105355
-116.0,117,105472
-97.0,98,105570
-241.0,242,105812
-76.0,77,105889
-132.0,133,106022
-73.0,74,106096
-220.0,221,106317
-101.0,102,106419
-74.0,75,106494
-76.0,77,106571
-90.0,91,106662
-177.0,178,106840
-86.0,87,106927
-81.0,82,107009
-75.0,76,107085
-117.0,118,107203
-72.0,73,107276
-62.0,63,107339
-91.0,92,107431
-76.0,77,107508
-82.0,83,107591
