number,value,datetime_start,datetime_complete,duration,params_batch_size,params_filters_layer1,params_filters_layer2,params_filters_layer3,params_gamma,params_learning_rate,params_max_eps,params_min_eps,params_steps_exploration,params_target_model_update,state,filters_combined
27,-215.0,2024-12-08 14:19:25.421038,2024-12-08 14:22:58.617402,0 days 00:03:33.196364,128,32,64,64,0.9748184007116252,0.0007466987976067073,0.8013134616988512,0.08403092002567998,12798,1875,COMPLETE,131072
28,-106.8,2024-12-08 14:22:58.634638,2024-12-08 14:26:29.010172,0 days 00:03:30.375534,64,64,32,16,0.9839938142843236,0.003744326576654682,0.8821074286561164,0.019689891716006977,10540,1733,COMPLETE,32768
29,-195.0,2024-12-08 14:26:29.026871,2024-12-08 14:30:02.739518,0 days 00:03:33.712647,64,64,32,16,0.9837901087101634,0.0044191528795288005,0.9021504523690836,0.018265946160471887,14670,1705,COMPLETE,32768
30,-500.0,2024-12-08 14:30:02.760479,2024-12-08 14:33:46.296712,0 days 00:03:43.536233,64,64,32,16,0.9839660944379353,0.009936895137342071,0.8850139848668098,0.06864948052665026,10221,1917,COMPLETE,32768
31,-147.4,2024-12-08 14:33:46.312735,2024-12-08 14:36:57.832345,0 days 00:03:11.519610,64,64,32,16,0.9689053540306016,0.003690288883998632,0.8861752316976976,0.024246339911716944,10021,1641,COMPLETE,32768
32,-500.0,2024-12-08 14:36:57.863870,2024-12-08 14:40:47.276621,0 days 00:03:49.412751,64,64,32,16,0.9794402199164184,0.005610896851847857,0.9172553423384273,0.03404684438694727,14292,1712,COMPLETE,32768
33,-275.8,2024-12-08 14:40:47.276621,2024-12-08 14:44:31.199806,0 days 00:03:43.923185,32,64,32,16,0.9519296000053066,0.0022678761254584096,0.8448619857533002,0.019654869092286763,21972,1560,COMPLETE,32768
34,-299.2,2024-12-08 14:44:31.210762,2024-12-08 14:48:25.467753,0 days 00:03:54.256991,128,64,32,64,0.9641105024237147,0.0012517443021890198,0.8660317881840238,0.05573166215332065,20296,1754,COMPLETE,131072
35,-456.0,2024-12-08 14:48:25.490367,2024-12-08 14:52:17.535732,0 days 00:03:52.045365,64,16,16,32,0.987256136609537,0.003079836121095814,0.8328115798953962,0.041270802632536054,46604,1543,COMPLETE,8192
36,-81.8,2024-12-08 14:52:17.555542,2024-12-08 14:56:06.398489,0 days 00:03:48.842947,128,64,64,64,0.9764988087985299,0.007214655843555978,0.8179252268934524,0.08732376118774601,17675,1619,COMPLETE,262144
37,-363.2,2024-12-08 14:56:06.770570,2024-12-08 14:59:56.858843,0 days 00:03:50.088273,32,64,16,16,0.972235223713699,0.007532494497422611,0.8143383197828352,0.08434378885677903,17839,1891,COMPLETE,16384
38,-470.0,2024-12-08 14:59:56.858843,2024-12-08 15:04:01.112642,0 days 00:04:04.253799,128,64,32,32,0.9629084273477805,0.005554496918732345,0.8797796441032639,0.09080233407270044,14843,1624,COMPLETE,65536
39,-77.8,2024-12-08 15:04:01.128267,2024-12-08 15:07:49.960615,0 days 00:03:48.832348,32,64,64,64,0.9853246522040829,0.008051418956069525,0.8962194534889183,0.09663233853405731,24569,1999,COMPLETE,262144
40,-225.4,2024-12-08 15:07:49.984501,2024-12-08 15:11:45.040710,0 days 00:03:55.056209,64,64,64,16,0.9521789799955817,0.008203757551241964,0.9122589668385266,0.09994846337239163,25477,764,COMPLETE,65536
41,-500.0,2024-12-08 15:11:45.055106,2024-12-08 15:15:49.246926,0 days 00:04:04.191820,32,64,64,64,0.9854809173338642,0.005245696237689058,0.9006721481644699,0.09356877998212719,12789,1947,COMPLETE,262144
42,-500.0,2024-12-08 15:15:49.262543,2024-12-08 15:19:50.496138,0 days 00:04:01.233595,32,64,64,64,0.9809660655514956,0.0036177528057082958,0.9365405979002239,0.08912255088508965,16227,1820,COMPLETE,262144
43,-500.0,2024-12-08 15:19:50.516916,2024-12-08 15:23:56.418982,0 days 00:04:05.902066,32,16,64,64,0.9753447753803477,0.00683543100080611,0.8913671179147983,0.07935439494806773,23479,1987,COMPLETE,65536
44,-500.0,2024-12-08 15:23:56.435188,2024-12-08 15:27:45.678468,0 days 00:03:49.243280,32,64,64,64,0.98945469807096,0.008008298138666927,0.8467084600268535,0.09470554246014048,21139,1757,COMPLETE,262144
45,-500.0,2024-12-08 15:27:45.699811,2024-12-08 15:31:33.133068,0 days 00:03:47.433257,32,16,16,32,0.9684810761818273,0.002720194259954681,0.8612255001878469,0.08638353425599385,18496,1856,COMPLETE,8192
46,-482.2,2024-12-08 15:31:33.138493,2024-12-08 15:35:44.857387,0 days 00:04:11.718894,32,64,64,64,0.9750600986210455,0.004276589093739417,0.9114406035180033,0.07961965343987792,12022,1932,COMPLETE,262144
47,-127.4,2024-12-08 15:35:44.873481,2024-12-08 15:39:52.569033,0 days 00:04:07.695552,128,16,64,64,0.9853973148785847,0.00012747112349155556,0.8781284540716066,0.09793908218398088,24182,513,COMPLETE,65536
48,-255.6,2024-12-08 15:39:52.587036,2024-12-08 15:43:50.815936,0 days 00:03:58.228900,128,64,64,64,0.981594352308983,0.006232140140715081,0.8941883434180504,0.07494784213860015,15804,1770,COMPLETE,262144
49,-133.2,2024-12-08 15:43:50.834479,2024-12-08 15:47:58.166518,0 days 00:04:07.332039,32,16,16,64,0.9402984558804541,0.005146991511336845,0.8408717455203144,0.08704128559023966,28088,1297,COMPLETE,16384
