episode_reward,nb_episode_steps,nb_steps
-123.0,124,74497
-91.0,92,74589
-150.0,151,74740
-122.0,123,74863
-102.0,103,74966
-118.0,119,75085
-105.0,106,75191
-106.0,107,75298
-126.0,127,75425
-93.0,94,75519
-101.0,102,75621
-109.0,110,75731
-123.0,124,75855
-85.0,86,75941
-82.0,83,76024
-112.0,113,76137
-125.0,126,76263
-131.0,132,76395
-113.0,114,76509
-108.0,109,76618
-92.0,93,76711
-132.0,133,76844
-137.0,138,76982
-102.0,103,77085
-153.0,154,77239
-104.0,105,77344
-118.0,119,77463
-130.0,131,77594
-123.0,124,77718
-139.0,140,77858
-115.0,116,77974
-79.0,80,78054
-111.0,112,78166
-110.0,111,78277
-114.0,115,78392
-99.0,100,78492
-94.0,95,78587
-135.0,136,78723
-116.0,117,78840
-122.0,123,78963
-101.0,102,79065
-120.0,121,79186
-125.0,126,79312
-100.0,101,79413
-500.0,500,79913
-110.0,111,80024
-91.0,92,80116
-90.0,91,80207
-107.0,108,80315
-120.0,121,80436
-113.0,114,80550
-117.0,118,80668
-123.0,124,80792
-111.0,112,80904
-95.0,96,81000
-91.0,92,81092
-97.0,98,81190
-83.0,84,81274
-115.0,116,81390
-104.0,105,81495
-103.0,104,81599
-143.0,144,81743
-95.0,96,81839
-101.0,102,81941
-97.0,98,82039
-90.0,91,82130
-116.0,117,82247
-110.0,111,82358
-105.0,106,82464
-83.0,84,82548
-92.0,93,82641
-102.0,103,82744
-89.0,90,82834
-121.0,122,82956
-123.0,124,83080
-93.0,94,83174
-115.0,116,83290
-96.0,97,83387
-87.0,88,83475
-136.0,137,83612
-102.0,103,83715
-84.0,85,83800
-102.0,103,83903
-145.0,146,84049
-81.0,82,84131
-91.0,92,84223
-85.0,86,84309
-80.0,81,84390
-91.0,92,84482
-98.0,99,84581
-99.0,100,84681
-105.0,106,84787
-147.0,148,84935
-94.0,95,85030
-82.0,83,85113
-124.0,125,85238
-103.0,104,85342
-121.0,122,85464
-110.0,111,85575
-116.0,117,85692
-91.0,92,85784
-95.0,96,85880
-91.0,92,85972
-77.0,78,86050
-82.0,83,86133
-126.0,127,86260
-100.0,101,86361
-138.0,139,86500
-89.0,90,86590
-96.0,97,86687
-95.0,96,86783
-93.0,94,86877
-107.0,108,86985
-91.0,92,87077
-117.0,118,87195
-287.0,288,87483
-70.0,71,87554
-116.0,117,87671
-88.0,89,87760
-111.0,112,87872
-105.0,106,87978
-112.0,113,88091
-98.0,99,88190
-92.0,93,88283
-99.0,100,88383
-113.0,114,88497
-124.0,125,88622
-97.0,98,88720
-119.0,120,88840
-101.0,102,88942
-80.0,81,89023
-100.0,101,89124
-94.0,95,89219
-85.0,86,89305
-117.0,118,89423
-111.0,112,89535
-104.0,105,89640
-99.0,100,89740
-89.0,90,89830
-99.0,100,89930
-98.0,99,90029
-108.0,109,90138
-112.0,113,90251
-204.0,205,90456
-86.0,87,90543
-141.0,142,90685
-91.0,92,90777
-134.0,135,90912
-82.0,83,90995
-110.0,111,91106
-86.0,87,91193
-101.0,102,91295
-98.0,99,91394
-102.0,103,91497
-181.0,182,91679
-79.0,80,91759
-79.0,80,91839
-78.0,79,91918
-91.0,92,92010
-86.0,87,92097
-103.0,104,92201
-97.0,98,92299
-112.0,113,92412
-116.0,117,92529
-92.0,93,92622
-86.0,87,92709
-80.0,81,92790
-91.0,92,92882
-96.0,97,92979
-90.0,91,93070
-84.0,85,93155
-82.0,83,93238
-86.0,87,93325
-131.0,132,93457
-103.0,104,93561
-96.0,97,93658
-81.0,82,93740
-120.0,121,93861
-105.0,106,93967
-91.0,92,94059
-77.0,78,94137
-74.0,75,94212
-76.0,77,94289
-78.0,79,94368
-96.0,97,94465
-78.0,79,94544
-83.0,84,94628
-81.0,82,94710
-79.0,80,94790
-92.0,93,94883
-102.0,103,94986
-96.0,97,95083
-146.0,147,95230
-74.0,75,95305
-99.0,100,95405
-88.0,89,95494
-85.0,86,95580
-95.0,96,95676
-101.0,102,95778
-101.0,102,95880
-98.0,99,95979
-106.0,107,96086
-113.0,114,96200
-175.0,176,96376
-106.0,107,96483
-84.0,85,96568
-92.0,93,96661
-78.0,79,96740
-71.0,72,96812
-92.0,93,96905
-94.0,95,97000
-88.0,89,97089
-102.0,103,97192
-77.0,78,97270
-98.0,99,97369
-80.0,81,97450
-77.0,78,97528
-100.0,101,97629
-85.0,86,97715
-86.0,87,97802
-98.0,99,97901
-156.0,157,98058
-72.0,73,98131
-115.0,116,98247
-100.0,101,98348
-89.0,90,98438
-78.0,79,98517
-73.0,74,98591
-119.0,120,98711
-84.0,85,98796
-77.0,78,98874
-102.0,103,98977
-91.0,92,99069
-91.0,92,99161
-86.0,87,99248
-94.0,95,99343
-79.0,80,99423
-81.0,82,99505
-70.0,71,99576
-73.0,74,99650
-77.0,78,99728
-71.0,72,99800
-84.0,85,99885
-161.0,162,100047
-109.0,110,100157
-102.0,103,100260
-68.0,69,100329
-94.0,95,100424
-199.0,200,100624
-94.0,95,100719
-144.0,145,100864
-79.0,80,100944
-77.0,78,101022
-83.0,84,101106
-76.0,77,101183
-146.0,147,101330
-106.0,107,101437
-94.0,95,101532
-126.0,127,101659
-155.0,156,101815
-136.0,137,101952
-77.0,78,102030
-85.0,86,102116
-75.0,76,102192
-111.0,112,102304
-150.0,151,102455
-289.0,290,102745
-101.0,102,102847
-100.0,101,102948
-101.0,102,103050
-108.0,109,103159
-100.0,101,103260
-74.0,75,103335
-105.0,106,103441
-93.0,94,103535
-92.0,93,103628
-133.0,134,103762
-91.0,92,103854
-83.0,84,103938
-74.0,75,104013
-91.0,92,104105
-77.0,78,104183
-74.0,75,104258
-80.0,81,104339
-74.0,75,104414
-74.0,75,104489
-76.0,77,104566
-76.0,77,104643
-95.0,96,104739
-164.0,165,104904
-91.0,92,104996
-91.0,92,105088
-102.0,103,105191
-91.0,92,105283
-111.0,112,105395
-136.0,137,105532
-93.0,94,105626
-75.0,76,105702
-141.0,142,105844
-91.0,92,105936
-111.0,112,106048
-84.0,85,106133
-74.0,75,106208
-73.0,74,106282
-103.0,104,106386
-81.0,82,106468
-86.0,87,106555
-82.0,83,106638
-93.0,94,106732
-96.0,97,106829
-83.0,84,106913
-91.0,92,107005
-91.0,92,107097
-80.0,81,107178
-93.0,94,107272
-77.0,78,107350
-70.0,71,107421
-74.0,75,107496
-82.0,83,107579
-83.0,84,107663
-165.0,166,107829
-63.0,64,107893
-77.0,78,107971
-117.0,118,108089
-89.0,90,108179
-153.0,154,108333
-133.0,134,108467
-77.0,78,108545
-103.0,104,108649
-82.0,83,108732
-102.0,103,108835
-115.0,116,108951
-79.0,80,109031
-120.0,121,109152
-80.0,81,109233
-79.0,80,109313
-81.0,82,109395
-132.0,133,109528
-88.0,89,109617
-98.0,99,109716
-71.0,72,109788
-92.0,93,109881
-73.0,74,109955
-78.0,79,110034
-78.0,79,110113
-66.0,67,110180
-89.0,90,110270
-129.0,130,110400
-93.0,94,110494
-82.0,83,110577
-83.0,84,110661
-91.0,92,110753
-87.0,88,110841
-74.0,75,110916
-77.0,78,110994
-75.0,76,111070
-61.0,62,111132
-73.0,74,111206
-74.0,75,111281
-76.0,77,111358
-78.0,79,111437
-99.0,100,111537
-94.0,95,111632
-74.0,75,111707
-118.0,119,111826
-111.0,112,111938
-93.0,94,112032
-102.0,103,112135
-91.0,92,112227
-88.0,89,112316
-76.0,77,112393
-73.0,74,112467
-90.0,91,112558
-88.0,89,112647
-104.0,105,112752
-81.0,82,112834
-127.0,128,112962
-228.0,229,113191
-80.0,81,113272
-104.0,105,113377
-97.0,98,113475
-98.0,99,113574
-62.0,63,113637
-84.0,85,113722
-106.0,107,113829
-94.0,95,113924
-105.0,106,114030
-94.0,95,114125
-99.0,100,114225
-70.0,71,114296
-88.0,89,114385
-98.0,99,114484
-91.0,92,114576
-87.0,88,114664
-84.0,85,114749
-76.0,77,114826
-114.0,115,114941
-134.0,135,115076
-98.0,99,115175
-80.0,81,115256
-72.0,73,115329
-61.0,62,115391
-95.0,96,115487
-69.0,70,115557
-92.0,93,115650
-81.0,82,115732
-89.0,90,115822
-78.0,79,115901
-81.0,82,115983
-80.0,81,116064
-83.0,84,116148
-87.0,88,116236
-91.0,92,116328
-96.0,97,116425
-72.0,73,116498
-62.0,63,116561
-94.0,95,116656
-104.0,105,116761
-78.0,79,116840
-74.0,75,116915
-104.0,105,117020
-62.0,63,117083
-73.0,74,117157
-74.0,75,117232
-74.0,75,117307
-91.0,92,117399
-74.0,75,117474
-123.0,124,117598
-79.0,80,117678
-94.0,95,117773
-73.0,74,117847
-81.0,82,117929
-80.0,81,118010
-85.0,86,118096
-81.0,82,118178
-106.0,107,118285
-81.0,82,118367
-72.0,73,118440
-83.0,84,118524
-73.0,74,118598
-79.0,80,118678
-68.0,69,118747
-105.0,106,118853
-91.0,92,118945
-69.0,70,119015
-76.0,77,119092
-68.0,69,119161
-102.0,103,119264
-86.0,87,119351
-107.0,108,119459
-193.0,194,119653
-93.0,94,119747
-85.0,86,119833
-76.0,77,119910
-68.0,69,119979
-108.0,109,120088
-88.0,89,120177
-96.0,97,120274
-89.0,90,120364
-97.0,98,120462
-89.0,90,120552
-118.0,119,120671
-77.0,78,120749
-87.0,88,120837
-107.0,108,120945
-105.0,106,121051
-93.0,94,121145
-61.0,62,121207
-93.0,94,121301
-95.0,96,121397
-75.0,76,121473
-80.0,81,121554
-99.0,100,121654
-115.0,116,121770
-84.0,85,121855
-110.0,111,121966
-76.0,77,122043
-85.0,86,122129
-88.0,89,122218
-88.0,89,122307
-74.0,75,122382
-74.0,75,122457
-74.0,75,122532
-80.0,81,122613
-85.0,86,122699
-82.0,83,122782
-123.0,124,122906
-73.0,74,122980
-81.0,82,123062
-99.0,100,123162
-106.0,107,123269
-73.0,74,123343
-73.0,74,123417
-94.0,95,123512
-63.0,64,123576
-103.0,104,123680
-74.0,75,123755
-79.0,80,123835
-93.0,94,123929
-77.0,78,124007
-96.0,97,124104
-70.0,71,124175
-84.0,85,124260
-76.0,77,124337
-117.0,118,124455
-80.0,81,124536
-106.0,107,124643
-85.0,86,124729
-88.0,89,124818
-99.0,100,124918
-74.0,75,124993
-97.0,98,125091
-101.0,102,125193
-88.0,89,125282
-84.0,85,125367
-88.0,89,125456
-81.0,82,125538
-75.0,76,125614
-105.0,106,125720
-94.0,95,125815
-89.0,90,125905
-79.0,80,125985
-75.0,76,126061
-86.0,87,126148
-75.0,76,126224
-82.0,83,126307
-101.0,102,126409
-88.0,89,126498
-99.0,100,126598
-81.0,82,126680
-75.0,76,126756
-76.0,77,126833
-109.0,110,126943
